TIDAK BAKU;BAKU
mahasw;mahasiswa
mahs;mahasiswa
sem;semester
kesel;kesal
iye;iya
gembel;miskin
krja;kerja
bangrut;bangkrut
tok;saja
nyari;mencari
ambyar;hancur
mendingan;baiknya
yng;yang
ga;tidak
gk;tidak
udh;sudah
muntun;moonton
monton;moonton
montoon;moonton
team;tim
gw;saya
gua;saya
gue;saya
yg;yang
gak;tidak
dah;sudah
nih;ini
ya;iya
gtu;gitu
dn;dan
lgsg;langsung
ml;mobile legends
maksih;makasih
sesenh;senang
tmbah;tambah
mntap;mantap
smngat;semangat
org;orang
ktemu;ketemu
wakt;waktu
gx;gak
munton;moonton
pke;pakai
ngerasa;merasa
tmn;teman
die;dia
sbenarnya;sebenarnya
nda;tidak
bahgia;bahagia
kemaren;kemarin
kawin;nikah
kawan;teman
hrap;harap
tak;tidak
bawak;bawa
tarek;tarik
cra;cara
lom;belum
nyampe;sampai
sgera;segera
mnyuruh;menyuruh
spy;supaya
trlalu;terlalu
blgu;belagu
okey;oke
dtg;datang
lg ;lagi
tengok;lihat
aing;saya
